id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
916;2025-05-22 00.09.41;25,5;91,0;4,1;470,0;36,0;24,0;33,0;1;19,2;12,8;17,6;3,9;2,4;0,7;49,7;7,0;184,3;148,0;1;1
921;2025-05-22 00.10.17;25,5;91,0;4,1;470,0;31,0;23,0;24,0;1;16,6;12,3;12,8;3,9;2,4;0,7;41,7;7,0;192,3;148,0;1;1
925;2025-05-22 00.10.45;25,5;91,0;4,1;470,0;31,0;29,0;29,0;1;16,6;15,5;15,5;3,9;2,4;0,7;47,5;7,0;186,5;148,0;1;1
927;2025-05-22 00.11.01;25,5;90,9;4,1;470,0;34,0;12,0;23,0;1;18,2;6,4;12,3;3,9;2,4;0,7;36,9;7,0;197,1;148,0;1;1
928;2025-05-22 00.11.08;25,5;90,6;4,1;470,0;29,0;15,0;25,0;1;15,5;8,0;13,4;3,8;2,4;0,7;36,9;6,9;197,1;148,1;1;1
930;2025-05-22 00.11.23;25,5;90,7;4,1;470,0;38,0;14,0;23,0;1;20,3;7,5;12,3;3,8;2,4;0,7;40,1;7,0;193,9;148,0;1;1
932;2025-05-22 00.11.39;25,4;91,0;4,1;470,0;28,0;26,0;26,0;1;15,0;13,9;13,9;3,9;2,4;0,7;42,7;7,0;191,3;148,0;1;1
933;2025-05-22 00.11.46;25,5;90,7;4,1;470,0;37,0;28,0;26,0;1;19,8;15,0;13,9;3,8;2,4;0,7;48,6;7,0;185,4;148,0;1;1
935;2025-05-22 00.12.01;25,5;91,5;4,0;470,0;38,0;21,0;22,0;1;20,3;11,2;11,8;3,9;2,4;0,7;43,3;7,1;190,7;147,9;1;1
939;2025-05-22 00.12.31;25,5;91,2;4,0;470,0;38,0;20,0;23,0;1;20,3;10,7;12,3;3,9;2,4;0,7;43,3;7,1;190,7;147,9;1;1
940;2025-05-22 00.12.38;25,5;90,6;4,0;470,0;33,0;11,0;25,0;1;17,6;5,9;13,4;3,9;2,4;0,7;36,9;7,0;197,1;148,0;1;1
955;2025-05-22 00.14.31;25,5;90,6;4,0;470,0;37,0;27,0;31,0;1;19,8;14,4;16,6;3,9;2,4;0,7;50,7;7,0;183,3;148,0;1;1
960;2025-05-22 00.15.08;25,5;91,0;4,0;470,0;31,0;24,0;26,0;1;16,6;12,8;13,9;3,9;2,4;0,7;43,3;7,0;190,7;148,0;1;1
964;2025-05-22 00.15.38;25,5;91,3;3,9;470,0;39,0;20,0;33,0;1;20,8;10,7;17,6;3,9;2,5;0,7;49,1;7,1;184,9;147,9;1;1
968;2025-05-22 00.16.08;25,4;91,2;3,9;470,0;39,0;26,0;35,0;1;20,8;13,9;18,7;3,9;2,5;0,7;53,4;7,1;180,6;147,9;1;1
973;2025-05-22 00.16.45;25,4;91,0;3,9;470,0;27,0;21,0;25,0;1;14,4;11,2;13,4;3,9;2,4;0,7;39,0;7,1;195,0;147,9;1;1
974;2025-05-22 00.16.53;25,4;90,7;3,9;470,0;32,0;17,0;31,0;1;17,1;9,1;16,6;3,9;2,4;0,7;42,7;7,1;191,3;147,9;1;1
